,gen,nevals,new_hof,coverage_avg,coverage_std,coverage_min,coverage_max,altitude_avg,altitude_std,altitude_min,altitude_max,costs_avg,costs_std,costs_min,costs_max
0,0,50,33,0.6523143781784558,0.34144549941169766,0.009986130374479889,1.0,760.64,144.8117067090917,513.0,993.0,75.4,64.50519358935372,1.0,286.0
1,1,50,26,0.8985963938973647,0.1000832304643805,0.7071659731853907,1.0,735.34,135.25422137589644,513.0,988.0,101.68,55.336223217707946,27.0,260.0
2,2,50,21,0.9091428571428571,0.09621184224014857,0.7045769764216366,1.0,719.04,132.64659211604345,513.0,988.0,96.14,54.306541042493215,27.0,221.0
3,3,50,22,0.899169671752196,0.09562327656406922,0.7045769764216366,1.0,711.9,129.79202594920847,513.0,988.0,89.34,49.164055975885475,27.0,221.0
4,4,50,26,0.9027998150716597,0.09263172666698836,0.7102172907998151,1.0,697.78,131.1546095263144,513.0,988.0,92.68,50.67482215064992,27.0,221.0
5,5,50,19,0.9053481276005548,0.09240364845005795,0.7102172907998151,1.0,692.54,131.34096238417015,513.0,988.0,94.06,50.89416862470592,27.0,221.0
6,6,50,20,0.9042145168747111,0.09352884013193931,0.7102172907998151,1.0,704.26,137.0498901860195,513.0,989.0,90.88,49.93541428685658,27.0,221.0
7,7,50,18,0.9039426722145169,0.09613377886470442,0.7102172907998151,1.0,695.74,139.28959903740122,513.0,988.0,93.1,52.207374957950144,27.0,230.0
8,8,50,18,0.8957540453074434,0.10062219680302745,0.7028201571890892,1.0,700.56,136.83744516761485,513.0,988.0,88.4,50.28319798899032,27.0,230.0
9,9,50,22,0.8913712436430882,0.10100110925984608,0.7028201571890892,1.0,708.42,135.87922431335852,513.0,988.0,85.16,49.21112069441215,27.0,230.0
10,10,50,19,0.8898049006010171,0.10253165597018037,0.7028201571890892,1.0,707.84,135.8110982210217,513.0,988.0,84.54,48.68684011106081,27.0,221.0
11,11,50,22,0.8891058714748036,0.0970200280491523,0.7028201571890892,1.0,703.96,140.7936021273694,513.0,988.0,80.96,44.94483730085136,27.0,221.0
12,12,50,18,0.8865187239944522,0.09720765945987483,0.7028201571890892,1.0,708.26,145.3690214591816,513.0,988.0,79.88,45.7871772442897,27.0,221.0
13,13,50,27,0.8995839112343966,0.09862991580815846,0.7028201571890892,1.0,708.5,149.40150601650575,513.0,988.0,84.46,48.6079047069507,27.0,221.0
14,14,50,17,0.8887896440129449,0.0993325375395794,0.7042071197411003,1.0,700.48,153.79964109190894,513.0,988.0,83.72,50.53277748155151,27.0,221.0
15,15,50,15,0.8889449838187702,0.10270368516676277,0.7042071197411003,1.0,697.2,158.24740124248487,513.0,988.0,86.18,52.801776485266096,27.0,221.0
16,16,50,13,0.8901396208969024,0.10449858387604244,0.7042071197411003,1.0,690.28,156.5320465591631,513.0,988.0,88.98,53.64233029986672,27.0,221.0
17,17,50,16,0.8811853906611189,0.10391241506477118,0.7042071197411003,1.0,704.7,151.13202837254585,513.0,988.0,76.52,37.970641290344304,27.0,168.0
18,18,50,17,0.8918520573277854,0.09988140392906017,0.7042071197411003,1.0,730.42,160.6880319127719,513.0,988.0,75.02,36.9044658544193,27.0,168.0
19,19,50,17,0.8928506703652336,0.09753602380951726,0.7042071197411003,1.0,725.96,156.95667682516728,513.0,988.0,75.78,37.74667667490742,27.0,168.0
20,20,50,17,0.8823374942209895,0.10053506078065597,0.7017105871474804,1.0,701.42,153.02680680194564,513.0,988.0,76.52,37.36909953424085,27.0,168.0
21,21,50,22,0.8775293573740176,0.10591592780004451,0.7017105871474804,1.0,688.12,151.2018042220396,513.0,988.0,78.76,41.0670476172807,27.0,168.0
22,22,50,18,0.8801719833564493,0.10420878262250266,0.7017105871474804,1.0,693.46,162.22826017682615,513.0,988.0,77.24,38.88576089007389,27.0,168.0
23,23,50,18,0.8869680998613036,0.10364580042363497,0.7017105871474804,1.0,691.34,158.58418710577672,513.0,988.0,78.8,39.39035414920764,27.0,168.0
24,24,50,25,0.8818622283865001,0.10550399673491431,0.7017105871474804,1.0,705.48,156.2105297347141,513.0,988.0,75.1,37.63894259938767,27.0,168.0
25,25,50,18,0.8734609338881184,0.1061461179029254,0.7017105871474804,1.0,697.38,154.53037112490216,513.0,988.0,74.66,38.76421545704234,27.0,168.0
26,26,50,16,0.8758187702265371,0.10940776111284274,0.7017105871474804,1.0,711.02,150.11215673622175,513.0,988.0,73.44,39.07129892900926,27.0,168.0
27,27,50,18,0.8797152103559871,0.11030657973720003,0.7017105871474804,1.0,700.38,144.49815085322027,513.0,988.0,76.42,39.30449847027691,27.0,168.0
28,28,50,11,0.8817808599167821,0.10954813393116875,0.7017105871474804,1.0,702.32,145.27359567381816,513.0,988.0,77.2,39.289184262338665,27.0,168.0
29,29,50,10,0.8837873324086917,0.1060899596041239,0.7017105871474804,1.0,706.06,149.14682832698787,513.0,988.0,77.06,38.94067796019992,27.0,168.0
30,30,50,16,0.8799852057327787,0.10586234583022598,0.7017105871474804,1.0,713.82,155.59713236432088,511.0,988.0,75.68,39.9221442309904,27.0,168.0
31,31,50,12,0.8784613962089689,0.10297674669163501,0.7017105871474804,1.0,723.66,155.92788204808016,511.0,988.0,71.92,37.30996649690267,27.0,168.0
32,32,50,14,0.8865224225612575,0.10491050071190251,0.7017105871474804,1.0,722.44,151.77419543519247,511.0,988.0,74.0,39.229070853131354,27.0,168.0
33,33,50,17,0.8844993065187239,0.10705919449308722,0.7017105871474804,1.0,725.74,153.39867144144372,511.0,988.0,72.78,38.469359235630634,27.0,168.0
34,34,50,15,0.878246879334258,0.10457485006747431,0.7017105871474804,1.0,710.1,151.01526412916013,511.0,988.0,74.24,39.58512852069575,27.0,168.0
35,35,50,17,0.8840554785020803,0.10642006496235938,0.7017105871474804,1.0,702.76,151.22176562915803,511.0,988.0,78.06,42.44215357401177,27.0,176.0
36,36,50,15,0.8939435968562183,0.10824562681658337,0.7017105871474804,1.0,703.8,150.50289033769417,511.0,988.0,80.16,41.57276031249308,27.0,176.0
37,37,50,11,0.888138696255201,0.10957374836843281,0.7017105871474804,1.0,698.28,145.96123320936968,511.0,988.0,79.86,41.96284547072565,27.0,176.0
38,38,50,11,0.8952880258899676,0.10728385913601361,0.7017105871474804,1.0,714.46,147.06722408477015,511.0,988.0,77.86,39.588387186143365,27.0,168.0
39,39,50,9,0.8889394359685622,0.10403406828380277,0.7017105871474804,1.0,733.94,156.8421384705016,511.0,988.0,73.12,38.47162070929687,27.0,168.0
40,40,50,13,0.8845011558021266,0.10482454563190778,0.7017105871474804,1.0,729.34,156.93891932850818,511.0,988.0,73.82,40.86646057588056,27.0,192.0
41,41,50,13,0.886553860379103,0.10407823973562365,0.7017105871474804,1.0,730.34,159.54192050993996,511.0,988.0,73.5,40.6139138719725,27.0,192.0
42,42,50,14,0.8929190938511327,0.10714067832173005,0.7017105871474804,1.0,746.26,158.06072377412423,511.0,988.0,73.76,41.22453638308137,27.0,192.0
43,43,50,11,0.8966546463245492,0.10638527116832712,0.7017105871474804,1.0,736.32,155.56071997776303,511.0,988.0,75.8,41.07797463361601,27.0,192.0
44,44,50,12,0.8844641701340731,0.10920417035103062,0.7017105871474804,1.0,738.74,153.69916200161927,511.0,988.0,73.16,42.2517975948953,27.0,192.0
45,45,50,13,0.8778844197873323,0.11147313988243959,0.7017105871474804,1.0,724.3,163.0819732527173,511.0,988.0,76.66,48.53312683106251,27.0,204.0
46,46,50,18,0.883112343966713,0.11181117974412663,0.7017105871474804,1.0,723.3,163.90719935378067,501.0,988.0,78.48,48.895087687824024,27.0,204.0
47,47,50,12,0.8779158576051781,0.10894698678786457,0.7017105871474804,1.0,710.28,156.37481127086932,501.0,988.0,78.4,49.182923865911015,27.0,204.0
48,48,50,10,0.8790975496994914,0.10618819460884371,0.7017105871474804,1.0,701.94,149.49560662440888,501.0,988.0,78.62,45.84752556027424,27.0,204.0
49,49,50,12,0.8917096625057791,0.10611183227146641,0.7017105871474804,1.0,697.06,156.41769848709575,501.0,988.0,85.4,50.55056874061854,27.0,204.0
50,50,50,12,0.8854424410540915,0.1077086751361924,0.7017105871474804,1.0,691.84,155.4386515638887,501.0,988.0,85.94,51.11493323873171,27.0,204.0
51,51,50,11,0.878846047156727,0.10579143120455031,0.7017105871474804,1.0,699.26,156.48064544856658,501.0,988.0,82.26,49.19545100921425,27.0,204.0
52,52,50,9,0.879796578825705,0.11043633423212589,0.7017105871474804,1.0,692.94,156.8205866587675,501.0,988.0,82.92,49.02482636379246,27.0,204.0
53,53,50,14,0.8804530744336568,0.11237416647453267,0.7017105871474804,1.0,693.1,156.39964833720055,501.0,988.0,83.2,48.301138702933294,27.0,204.0
54,54,50,11,0.8850633379565417,0.11307712492280021,0.7017105871474804,1.0,686.46,159.43854113732976,501.0,988.0,87.46,51.46113484951531,27.0,204.0
55,55,50,16,0.8782505779010634,0.11297454848455626,0.7017105871474804,1.0,692.02,153.6801210306655,501.0,988.0,83.66,49.599036280960135,27.0,204.0
56,56,50,11,0.8843014331946369,0.11021344484380141,0.7017105871474804,1.0,697.44,155.24344237358306,501.0,988.0,84.48,50.69723463858754,27.0,204.0
57,57,50,7,0.8724419787332407,0.10633145139629813,0.7017105871474804,1.0,711.78,144.97741755183804,501.0,988.0,73.34,36.63365119667981,27.0,168.0
58,58,50,6,0.8817457235321313,0.10558225858910382,0.7017105871474804,1.0,712.7,150.7761585927961,501.0,988.0,77.68,40.829616701605225,27.0,210.0
59,59,50,11,0.8860194174757281,0.10669712235367661,0.7017105871474804,1.0,715.64,158.55204319087156,501.0,988.0,77.88,40.23463184869473,27.0,210.0
60,60,50,15,0.8880832177531207,0.1025355638765759,0.7017105871474804,1.0,712.94,164.24791140224585,501.0,988.0,78.46,41.42038628501671,27.0,210.0
61,61,50,10,0.887291724456773,0.10463511443596085,0.7017105871474804,1.0,692.82,157.13149779722713,501.0,988.0,79.4,37.06804553790232,27.0,168.0
62,62,50,12,0.8868626907073509,0.10434465552149706,0.7017105871474804,1.0,704.16,158.78455340492036,501.0,988.0,76.8,36.98107624177533,27.0,168.0
63,63,50,9,0.8830217290799816,0.11045143510308385,0.7017105871474804,1.0,700.72,156.26273260121877,501.0,988.0,76.7,37.21088550411022,27.0,168.0
