,generation,nevals,new_hof,coverage_max,coverage_min,coverage_mean,coverage_std,altitude_max,altitude_min,altitude_mean,altitude_std,costs_max,costs_min,costs_mean,costs_std,coverage_gen,coverage_nevals,coverage_new_hof,altitude_gen,altitude_nevals,altitude_new_hof,costs_gen,costs_nevals,costs_new_hof
0,0,50,33,1.0,0.009986130374479889,0.6523143781784558,0.34144549941169766,993.0,513.0,760.64,144.81170670909174,286.0,1.0,75.4,64.50519358935372,0,50,33,0,50,33,0,50,33
1,1,50,24,1.0,0.5453536754507629,0.8878076745261211,0.12135652579702465,993.0,513.0,746.76,133.1379074493812,286.0,27.0,99.4,60.89466314875221,1,50,24,1,50,24,1,50,24
2,2,50,22,1.0,0.5453536754507629,0.8745390661118816,0.12336377748255525,993.0,513.0,733.28,138.6337678922419,276.0,27.0,82.7,47.64462194204085,2,50,22,2,50,22,2,50,22
3,3,50,21,1.0,0.561997226074896,0.8587868700878409,0.12895522081533095,984.0,513.0,713.84,133.33872055783345,276.0,27.0,84.78,55.7950858051137,3,50,21,3,50,21,3,50,21
4,4,50,19,1.0,0.5329634766527971,0.8502949607027277,0.12586086900913288,989.0,513.0,706.0,137.23745844338563,276.0,27.0,78.88,47.918530862287504,4,50,19,4,50,19,4,50,19
5,5,50,24,1.0,0.5051317614424411,0.8373832639852057,0.14367403293916306,984.0,513.0,703.98,131.50794500713636,216.0,27.0,74.64,43.89430942616595,5,50,24,5,50,24,5,50,24
6,6,50,25,1.0,0.5051317614424411,0.8121331484049932,0.1587751052274959,984.0,513.0,695.02,129.98776711675603,216.0,27.0,71.74,44.58376834678737,6,50,25,6,50,25,6,50,25
7,7,50,15,1.0,0.5051317614424411,0.8185464632454924,0.1606820204391268,984.0,513.0,698.96,133.6284340999325,216.0,24.0,74.98,47.80857245306536,7,50,15,7,50,15,7,50,15
8,8,50,17,1.0,0.5051317614424411,0.8189921405455387,0.16043100017843623,984.0,513.0,706.2,132.32777486227144,216.0,24.0,72.46,46.545551882000495,8,50,17,8,50,17,8,50,17
9,9,50,17,1.0,0.5051317614424411,0.8065483125288953,0.16053187149499376,984.0,513.0,706.74,131.41716935012715,216.0,24.0,69.22,45.08449400847258,9,50,17,9,50,17,9,50,17
