,generation,NSGA-NC,NSGA-C50,NSGA-C60,NSGA-C70,NSGA-C80,NSGA-C90,NSGA-C95,NSGA-C99,NSGA-C100,MOGA-WS
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029387755102040815
1,1,0.0,0.0008163265306122449,0.0,0.0,0.0008163265306122449,0.0008163265306122449,0.0,0.0,0.0,0.017142857142857144
2,2,0.0,0.0016326530612244899,0.0016326530612244899,0.0008163265306122449,0.0008163265306122449,0.0032653061224489797,0.0032653061224489797,0.0024489795918367346,0.0024489795918367346,0.015510204081632653
3,3,0.0008163265306122449,0.0016326530612244899,0.0016326530612244899,0.0,0.0032653061224489797,0.0032653061224489797,0.004897959183673469,0.0032653061224489797,0.004897959183673469,0.015510204081632653
4,4,0.0008163265306122449,0.0,0.0,0.0,0.006530612244897959,0.004081632653061225,0.005714285714285714,0.004081632653061225,0.00816326530612245,0.015510204081632653
5,5,0.0008163265306122449,0.0,0.0016326530612244899,0.0008163265306122449,0.008979591836734694,0.004081632653061225,0.004897959183673469,0.005714285714285714,0.037551020408163265,0.022857142857142857
6,6,0.0008163265306122449,0.0008163265306122449,0.0,0.0008163265306122449,0.0032653061224489797,0.0032653061224489797,0.005714285714285714,0.007346938775510204,0.08816326530612245,0.013061224489795919
7,7,0.0008163265306122449,0.0,0.0,0.0,0.0016326530612244899,0.004081632653061225,0.006530612244897959,0.015510204081632653,0.03346938775510204,0.014693877551020407
8,8,0.0,0.0,0.0,0.0,0.0016326530612244899,0.005714285714285714,0.008979591836734694,0.013877551020408163,0.010612244897959184,0.014693877551020407
9,9,0.0,0.0008163265306122449,0.0,0.0,0.0016326530612244899,0.004081632653061225,0.015510204081632653,0.022040816326530613,0.00816326530612245,0.019591836734693877
10,10,0.0008163265306122449,0.0008163265306122449,0.0008163265306122449,0.0008163265306122449,0.0,0.0032653061224489797,0.018775510204081632,0.013877551020408163,0.013061224489795919,0.0163265306122449
11,11,0.0,0.0008163265306122449,0.0008163265306122449,0.0,0.0008163265306122449,0.0016326530612244899,0.017959183673469388,0.011428571428571429,0.019591836734693877,0.014693877551020407
12,12,0.0,0.0024489795918367346,0.0,0.0,0.0016326530612244899,0.0016326530612244899,0.0236734693877551,0.0163265306122449,0.017959183673469388,0.0163265306122449
13,13,0.0008163265306122449,0.0008163265306122449,0.0008163265306122449,0.0,0.0024489795918367346,0.0008163265306122449,0.018775510204081632,0.02040816326530612,0.036734693877551024,0.017959183673469388
14,14,0.0,0.0008163265306122449,0.0,0.0,0.0008163265306122449,0.0008163265306122449,0.0163265306122449,0.0236734693877551,0.05061224489795919,0.022857142857142857
15,15,0.0,0.0016326530612244899,0.0,0.0008163265306122449,0.0016326530612244899,0.0,0.013061224489795919,0.029387755102040815,0.09061224489795919,0.019591836734693877
16,16,0.0,0.0,0.0,0.0008163265306122449,0.0,0.0008163265306122449,0.009795918367346938,0.03918367346938775,0.09387755102040816,0.017142857142857144
17,17,0.0,0.0,0.0,0.0016326530612244899,0.0,0.0024489795918367346,0.009795918367346938,0.0636734693877551,0.14857142857142858,0.012244897959183673
18,18,0.0,0.0,0.0,0.0,0.0,0.0024489795918367346,0.008979591836734694,0.08,0.28,0.018775510204081632
19,19,0.0,0.0008163265306122449,0.0,0.0,0.0,0.0024489795918367346,0.005714285714285714,0.13387755102040816,0.46938775510204084,0.014693877551020407
20,20,0.0,0.0008163265306122449,0.0,0.0016326530612244899,0.0008163265306122449,0.0024489795918367346,0.006530612244897959,0.024489795918367346,0.4163265306122449,0.019591836734693877
21,21,0.0,0.0,0.0,0.0016326530612244899,0.0008163265306122449,0.0016326530612244899,0.007346938775510204,0.019591836734693877,0.3469387755102041,0.013061224489795919
22,22,0.0,0.0,0.0,0.0008163265306122449,0.0016326530612244899,0.0032653061224489797,0.008979591836734694,0.035918367346938776,0.3730612244897959,0.009795918367346938
23,23,0.0,0.0,0.0,0.0008163265306122449,0.0016326530612244899,0.0032653061224489797,0.008979591836734694,0.0473469387755102,0.2938775510204082,0.017959183673469388
24,24,0.0,0.0,0.0,0.0,0.0008163265306122449,0.0016326530612244899,0.00816326530612245,0.044897959183673466,0.27591836734693875,0.03183673469387755
25,25,0.0008163265306122449,0.0008163265306122449,0.0008163265306122449,0.0008163265306122449,0.0008163265306122449,0.0,0.005714285714285714,0.04979591836734694,0.19428571428571428,0.035918367346938776
26,26,0.0,0.0008163265306122449,0.0,0.0,0.0024489795918367346,0.0016326530612244899,0.004897959183673469,0.037551020408163265,0.17224489795918368,0.037551020408163265
27,27,0.0,0.0024489795918367346,0.0,0.0,0.0024489795918367346,0.0016326530612244899,0.004081632653061225,0.060408163265306125,0.1893877551020408,0.0473469387755102
28,28,0.0,0.0008163265306122449,0.0,0.0,0.0016326530612244899,0.004081632653061225,0.004897959183673469,0.08163265306122448,0.29551020408163264,0.03918367346938775
29,29,0.0,0.0008163265306122449,0.0,0.0,0.0024489795918367346,0.005714285714285714,0.0032653061224489797,0.04897959183673469,0.2808163265306122,0.07510204081632653
30,30,0.0,0.0016326530612244899,0.0,0.0,0.0008163265306122449,0.0032653061224489797,0.0032653061224489797,0.05551020408163265,0.2506122448979592,0.04897959183673469
