lat,lon,beam_id,SNR_dB,throughput_Mbps,availability_pct,FSPL_dB,Pr_dBm,Gt_dBi,G_rx_dBi,L_atm_dB,L_rain_dB
7.553306039000036,111.54208323299952,SAT_10019,19.979992300473597,191.137456690164,98.97053148896141,170.49589091357174,-65.00970774288659,29.920126610419096,35.0,0.12076166854390338,12.313181771190035
7.653306039000036,113.84208323299939,SAT_10019,19.04351945969991,185.86979696081198,98.85223586247263,170.7441219060448,-65.94618058366028,29.50768189610013,35.0,0.12464810748192402,12.5850924662337
7.653306039000036,113.94208323299938,SAT_10019,19.059319484730835,185.95867210161097,98.85439476365944,170.74000041880865,-65.93038055862935,29.514724218673216,35.0,0.12458237735897605,12.580521981134954
7.7533060390000355,114.14208323299937,SAT_10019,18.91282374386229,185.1346335592254,98.83416097339214,170.77812807333274,-66.0768762994979,29.449320179220646,35.0,0.12519202269086419,12.622876382694947
8.153306039000034,114.74208323299933,SAT_10019,19.63762902888878,189.2116632874994,98.92948972143417,170.58758133153208,-65.3520710144714,29.77051964135125,35.0,0.12218025749433536,12.412829066796249
8.353306039000033,115.2420832329993,SAT_10019,20.026917421325294,191.40141049495477,98.97600517444573,170.4832378637195,-64.9627826220349,29.94052498462269,35.0,0.12056743948809376,12.299502303450009
8.653306039000032,104.8420832329999,SAT_10018,19.836534769279538,190.3305080771974,98.95365579834086,170.53451449293786,-65.15316527408065,29.85764560973402,35.0,0.1213553574839239,12.354941033392889
8.653306039000032,104.94208323299989,SAT_10018,19.825371435697065,190.26771432579596,98.95232285992937,170.53750648840375,-65.16432860766312,29.85277025145542,35.0,0.12140160712734094,12.358190763587462
8.653306039000032,105.04208323299989,SAT_10018,19.804570822634076,190.1507108773167,98.94983261814374,170.54307835443382,-65.18512922072611,29.843682118191193,35.0,0.12148779145004432,12.364245193033444
8.653306039000032,106.5420832329998,SAT_10067,19.98500248766139,191.16563899309534,98.97128147402432,170.4982212134722,-65.0046975556988,29.924467815799478,35.0,0.12071966882910763,12.310224489196974
8.753306039000032,104.94208323299989,SAT_10018,19.900538405158485,190.6905285290165,98.96125498272293,170.51733769284118,-65.0891616382017,29.88556971256581,35.0,0.12109024487145223,12.336303413054884
8.753306039000032,105.04208323299989,SAT_10018,19.879701411474457,190.5733204395438,98.95879141512289,170.52293398386058,-65.10999863188573,29.87648402689426,35.0,0.12117654466789998,12.34237213025151
8.753306039000032,105.14208323299988,SAT_10018,19.849226566052977,190.401899434048,98.95517309731646,170.53111142079447,-65.14047347730721,29.86318672086615,35.0,0.1213027788297044,12.351245998549192
8.853306039000032,104.8420832329999,SAT_10018,19.97712884682288,191.12134976337867,98.97024144912928,170.49673234479832,-65.01257119653731,29.918922109842224,35.0,0.12077311750358705,12.313987844077634
8.853306039000032,104.94208323299989,SAT_10018,19.965929250085267,191.05835203172964,98.96893501352031,170.49974885292482,-65.02377079327492,29.914049391045655,35.0,0.12081948181409032,12.317251849581652
