Metric,NSGA-C80,NSGA-C90,NSGA-C95
Full Combined Pareto Front Proportion (1084 individuals),0.44280442804428044,0.2887453874538745,0.26845018450184505
100% Coverage Combined Pareto Front Proportion (21 individuals),0.47619047619047616,0.23809523809523808,0.2857142857142857
