,Generation,100% HOF Coverage Count
0,0,2
1,1,4
2,2,3
3,3,3
4,4,3
5,5,5
6,6,6
7,7,8
8,8,8
9,9,10
10,10,10
11,11,8
12,12,9
13,13,11
14,14,11
15,15,9
16,16,9
17,17,10
18,18,7
19,19,8
20,20,9
21,21,9
22,22,10
23,23,10
24,24,11
25,25,12
26,26,12
27,27,9
28,28,9
29,29,8
30,30,8
31,31,7
32,32,7
33,33,7
34,34,8
35,35,9
36,36,10
37,37,11
38,38,10
39,39,10
40,40,10
41,41,10
42,42,10
43,43,10
44,44,11
45,45,12
46,46,12
47,47,12
48,48,12
49,49,12
50,50,12
51,51,10
52,52,10
53,53,10
54,54,11
55,55,11
56,56,11
57,57,11
58,58,12
59,59,12
60,60,12
61,61,12
62,62,13
63,63,13
64,64,13
65,65,13
66,66,13
67,67,13
68,68,13
69,69,13
70,70,13
71,71,13
72,72,13
73,73,13
74,74,13
75,75,10
76,76,10
77,77,11
78,78,11
79,79,11
80,80,11
81,81,11
82,82,11
83,83,11
84,84,11
85,85,11
86,86,10
87,87,10
88,88,10
89,89,10
90,90,10
91,91,11
92,92,11
93,93,11
94,94,11
95,95,11
96,96,11
97,97,11
98,98,11
99,99,11
100,100,11
