,Generation,100% HOF Coverage Count
0,0,2
1,1,3
2,2,5
3,3,6
4,4,6
5,5,6
6,6,6
7,7,7
8,8,9
9,9,8
10,10,8
11,11,6
12,12,7
13,13,8
14,14,9
15,15,10
16,16,14
17,17,12
18,18,11
19,19,12
20,20,13
21,21,12
22,22,11
23,23,11
24,24,12
25,25,13
26,26,12
27,27,13
28,28,14
29,29,11
30,30,11
31,31,11
32,32,12
33,33,12
34,34,12
35,35,12
36,36,13
37,37,13
38,38,11
39,39,11
40,40,11
41,41,11
42,42,11
43,43,12
44,44,12
45,45,12
46,46,12
47,47,12
48,48,12
49,49,13
50,50,13
51,51,13
52,52,13
53,53,13
54,54,13
55,55,14
56,56,14
57,57,14
58,58,14
59,59,15
60,60,14
61,61,14
62,62,14
63,63,14
64,64,14
65,65,14
66,66,15
67,67,13
68,68,15
69,69,15
70,70,15
71,71,15
72,72,15
73,73,15
74,74,15
75,75,16
76,76,16
77,77,16
78,78,16
79,79,16
80,80,18
81,81,18
82,82,18
83,83,18
84,84,18
85,85,18
86,86,18
87,87,18
88,88,19
89,89,19
90,90,19
91,91,19
92,92,19
93,93,19
94,94,19
95,95,19
96,96,18
97,97,19
98,98,19
99,99,17
100,100,17
