,Generation,100% HOF Coverage Count
0,0,2
1,1,3
2,2,3
3,3,4
4,4,8
5,5,9
6,6,10
7,7,7
8,8,6
9,9,8
10,10,9
11,11,10
12,12,11
13,13,12
14,14,11
15,15,12
16,16,12
17,17,12
18,18,13
19,19,12
20,20,14
21,21,14
22,22,14
23,23,14
24,24,16
25,25,16
26,26,16
27,27,17
28,28,15
29,29,15
30,30,17
31,31,18
32,32,15
33,33,15
34,34,15
35,35,15
36,36,15
37,37,15
38,38,15
39,39,15
40,40,15
41,41,15
42,42,16
43,43,18
44,44,18
45,45,18
46,46,18
47,47,14
48,48,13
49,49,14
50,50,15
51,51,11
52,52,11
53,53,12
54,54,12
55,55,12
56,56,12
57,57,12
58,58,12
59,59,13
60,60,13
61,61,13
62,62,13
63,63,14
64,64,14
65,65,14
66,66,15
67,67,15
68,68,15
69,69,15
70,70,16
71,71,16
72,72,16
73,73,16
74,74,16
75,75,16
76,76,16
77,77,16
78,78,17
79,79,17
80,80,17
81,81,17
82,82,17
83,83,17
84,84,17
85,85,17
86,86,17
87,87,17
88,88,17
89,89,17
90,90,17
91,91,17
92,92,17
93,93,17
94,94,17
95,95,17
96,96,17
97,97,17
98,98,14
99,99,14
100,100,15
