,Generation,100% HOF Coverage Count
0,0,2
1,1,3
2,2,7
3,3,9
4,4,8
5,5,9
6,6,9
7,7,10
8,8,11
9,9,12
10,10,12
11,11,12
12,12,13
13,13,15
14,14,16
15,15,16
16,16,18
17,17,18
18,18,16
19,19,17
20,20,17
21,21,18
22,22,20
23,23,21
24,24,22
25,25,23
26,26,23
27,27,23
28,28,23
29,29,22
30,30,24
31,31,24
32,32,24
33,33,25
34,34,18
35,35,19
36,36,15
37,37,17
38,38,15
39,39,14
40,40,14
41,41,13
42,42,12
43,43,12
44,44,12
45,45,12
46,46,12
47,47,13
48,48,13
49,49,14
50,50,14
51,51,10
52,52,9
53,53,9
54,54,9
55,55,9
56,56,9
57,57,9
58,58,10
59,59,10
60,60,10
61,61,11
62,62,11
63,63,11
64,64,11
65,65,11
66,66,11
67,67,11
68,68,11
69,69,12
70,70,12
71,71,12
72,72,12
73,73,12
74,74,13
75,75,13
76,76,13
77,77,14
78,78,14
79,79,15
80,80,15
81,81,15
82,82,15
83,83,15
84,84,16
85,85,17
86,86,17
87,87,17
88,88,17
89,89,17
90,90,17
91,91,16
92,92,16
93,93,16
94,94,16
95,95,16
96,96,16
97,97,16
98,98,16
99,99,16
100,100,16
