,Generation,100% HOF Coverage Count
0,0,2
1,1,4
2,2,5
3,3,6
4,4,8
5,5,12
6,6,11
7,7,8
8,8,6
9,9,5
10,10,6
11,11,6
12,12,5
13,13,6
14,14,7
15,15,7
16,16,7
17,17,8
18,18,11
19,19,11
20,20,8
21,21,7
22,22,8
23,23,9
24,24,9
25,25,10
26,26,8
27,27,8
28,28,10
29,29,10
30,30,9
31,31,10
32,32,11
33,33,11
34,34,11
35,35,12
36,36,13
37,37,13
38,38,14
39,39,14
40,40,14
41,41,15
42,42,15
43,43,14
44,44,14
45,45,14
46,46,14
47,47,14
48,48,13
49,49,13
50,50,13
51,51,14
52,52,14
53,53,14
54,54,14
55,55,15
56,56,15
57,57,15
58,58,16
59,59,17
60,60,17
61,61,17
62,62,19
63,63,19
64,64,19
65,65,17
66,66,17
67,67,16
68,68,16
69,69,15
70,70,15
71,71,16
72,72,16
73,73,17
74,74,18
75,75,19
76,76,19
77,77,19
78,78,19
79,79,19
80,80,14
81,81,14
82,82,14
83,83,14
84,84,14
85,85,15
86,86,15
87,87,15
88,88,15
89,89,15
90,90,15
91,91,15
92,92,15
93,93,15
94,94,15
95,95,15
96,96,15
97,97,11
98,98,12
99,99,12
100,100,12
