,Generation,100% HOF Coverage Count
0,0,2
1,1,4
2,2,4
3,3,9
4,4,11
5,5,9
6,6,6
7,7,8
8,8,9
9,9,6
10,10,7
11,11,7
12,12,7
13,13,6
14,14,6
15,15,7
16,16,8
17,17,8
18,18,8
19,19,8
20,20,4
21,21,4
22,22,4
23,23,4
24,24,4
25,25,4
26,26,4
27,27,4
28,28,4
29,29,4
30,30,5
31,31,5
32,32,5
33,33,6
34,34,6
35,35,6
36,36,6
37,37,6
38,38,6
39,39,6
40,40,6
41,41,4
42,42,4
43,43,4
44,44,4
45,45,4
46,46,4
47,47,4
48,48,4
49,49,4
50,50,4
51,51,4
52,52,4
53,53,4
54,54,4
55,55,4
56,56,4
57,57,4
58,58,4
59,59,4
60,60,4
61,61,4
62,62,5
63,63,5
64,64,5
65,65,5
66,66,5
67,67,5
68,68,5
69,69,5
70,70,6
71,71,6
72,72,6
73,73,6
74,74,6
75,75,6
76,76,6
77,77,6
78,78,6
79,79,6
80,80,7
81,81,7
82,82,7
83,83,7
84,84,7
85,85,7
86,86,7
87,87,7
88,88,7
89,89,7
90,90,7
91,91,7
92,92,7
93,93,7
94,94,7
95,95,7
96,96,7
97,97,7
98,98,7
99,99,7
100,100,7
