,Generation,100% HOF Coverage Count
0,0,2
1,1,3
2,2,4
3,3,5
4,4,4
5,5,5
6,6,6
7,7,8
8,8,7
9,9,7
10,10,10
11,11,10
12,12,10
13,13,8
14,14,8
15,15,8
16,16,8
17,17,8
18,18,8
19,19,8
20,20,9
21,21,10
22,22,10
23,23,10
24,24,10
25,25,12
26,26,12
27,27,12
28,28,12
29,29,12
30,30,12
31,31,11
32,32,10
33,33,10
34,34,9
35,35,10
36,36,10
37,37,10
38,38,11
39,39,12
40,40,12
41,41,13
42,42,14
43,43,14
44,44,14
45,45,15
46,46,15
47,47,15
48,48,15
49,49,15
50,50,15
51,51,15
52,52,15
53,53,16
54,54,16
55,55,16
56,56,16
57,57,16
58,58,17
59,59,17
60,60,17
61,61,17
62,62,17
63,63,17
64,64,17
65,65,17
66,66,17
67,67,17
68,68,17
69,69,17
70,70,18
71,71,19
72,72,19
73,73,20
74,74,22
75,75,23
76,76,23
77,77,23
78,78,24
79,79,24
80,80,24
81,81,26
82,82,27
83,83,27
84,84,27
85,85,25
86,86,25
87,87,25
88,88,25
89,89,22
90,90,23
91,91,23
92,92,23
93,93,23
94,94,23
95,95,24
96,96,24
97,97,24
98,98,24
99,99,24
100,100,24
