,Generation,100% HOF Coverage Count
0,0,2
1,1,3
2,2,6
3,3,7
4,4,10
5,5,7
6,6,10
7,7,10
8,8,10
9,9,10
10,10,11
11,11,13
12,12,13
13,13,14
14,14,11
15,15,11
16,16,12
17,17,14
18,18,12
19,19,12
20,20,14
21,21,14
22,22,15
23,23,16
24,24,16
25,25,16
26,26,17
27,27,18
28,28,12
29,29,12
30,30,13
31,31,13
32,32,13
33,33,13
34,34,15
35,35,17
36,36,17
37,37,18
38,38,19
39,39,21
40,40,22
41,41,24
42,42,25
43,43,13
44,44,13
45,45,14
46,46,14
47,47,14
48,48,14
49,49,14
50,50,13
51,51,14
52,52,15
53,53,16
54,54,16
55,55,16
56,56,15
57,57,15
58,58,14
59,59,14
60,60,14
61,61,14
62,62,14
63,63,14
64,64,13
65,65,13
66,66,13
67,67,13
68,68,14
69,69,14
70,70,15
71,71,14
72,72,14
73,73,14
74,74,14
75,75,14
76,76,13
77,77,13
78,78,13
79,79,13
80,80,12
81,81,12
82,82,12
83,83,12
84,84,12
85,85,12
86,86,12
87,87,12
88,88,12
89,89,12
90,90,12
91,91,13
92,92,13
93,93,13
94,94,13
95,95,12
96,96,12
97,97,12
98,98,12
99,99,14
100,100,14
