,case,coverage,altitude,num_sats,inclinatiom,num_planes,num_sats_per_plane,phasing
113,80,0.9297272306981045,565,88,19,4,22,1
114,80,0.9257512713823394,627,76,19,4,19,3
115,80,0.9236245954692557,605,81,19,9,9,4
116,80,0.922792417938049,743,54,19,6,9,1
117,80,0.9224225612575128,623,76,19,4,19,3
118,80,0.9218677762367082,602,80,20,5,16,3
119,80,0.9212205270457697,622,76,19,4,19,3
120,80,0.9206657420249653,801,48,19,6,8,2
121,80,0.9201109570041609,675,63,19,7,9,3
122,80,0.9186315302820157,535,91,19,7,13,6
123,80,0.9184466019417475,959,40,19,4,10,1
124,80,0.9167822468793343,598,77,20,7,11,1
125,80,0.9161349976883958,989,39,20,3,13,1
126,80,0.9160425335182617,867,42,19,6,7,3
127,80,0.9143781784558483,650,68,19,4,17,2
128,80,0.9136384650947758,610,72,19,6,12,4
129,80,0.9111419325011558,565,84,19,4,21,2
130,80,0.9048543689320389,667,64,20,4,16,3
131,80,0.9031900138696255,714,60,19,4,15,3
132,80,0.9017105871474803,773,48,19,6,8,2
133,80,0.9013407304669441,772,48,19,6,8,2
134,80,0.9006934812760056,843,42,19,6,7,3
135,80,0.9006010171058715,663,64,20,4,16,3
136,80,0.9005085529357374,601,72,19,8,9,5
137,80,0.9000462320850671,989,36,20,4,9,1
138,80,0.8967175219602405,714,54,19,6,9,1
139,80,0.8951456310679612,835,42,19,6,7,3
140,80,0.8945908460471568,511,102,20,6,17,5
141,80,0.8929264909847434,565,77,19,7,11,1
142,80,0.8902450300508553,764,48,20,6,8,2
143,80,0.8878409616273694,625,68,19,4,17,2
144,80,0.8870087840961627,511,91,19,7,13,6
145,70,0.8870087840961627,511,91,19,7,13,6
146,80,0.8851595006934813,627,63,19,7,9,3
147,80,0.8846971798428109,959,36,19,4,9,1
148,80,0.8826629680998613,587,76,19,4,19,3
149,80,0.8792417938049006,535,88,20,4,22,2
150,80,0.8791493296347666,929,39,20,3,13,1
151,80,0.8779472954230236,531,88,21,4,22,1
152,80,0.877300046232085,722,49,19,7,7,5
153,80,0.8770226537216829,541,84,19,4,21,2
154,80,0.874711049468331,743,48,19,6,8,2
155,80,0.8703652334720295,538,84,19,4,21,2
156,80,0.869625520110957,801,42,19,6,7,3
157,80,0.8688858067498845,989,34,20,2,17,1
158,80,0.8666666666666667,565,72,19,8,9,5
159,80,0.8651872399445215,535,84,19,4,21,2
160,80,0.8625982431807675,989,32,20,4,8,2
161,80,0.860748959778086,915,36,19,4,9,1
162,80,0.8574202496532594,520,88,21,4,22,1
163,80,0.8567730004623209,535,81,19,9,9,7
164,80,0.8564031437817845,722,48,19,6,8,2
165,80,0.8534442903374942,720,48,19,6,8,2
166,80,0.8528895053166898,953,34,19,2,17,1
167,70,0.8528895053166898,953,34,20,2,17,1
168,70,0.8528895053166898,953,34,19,2,17,1
169,80,0.8513176144244106,896,36,19,4,9,1
170,80,0.8502080443828016,513,88,19,4,22,1
171,70,0.8502080443828016,513,88,19,4,22,1
172,80,0.849283402681461,535,80,19,5,16,2
173,80,0.8488210818307905,714,48,19,6,8,2
174,80,0.8483587609801202,943,34,19,2,17,1
175,80,0.8478039759593158,667,56,19,4,14,1
176,80,0.8471567267683773,601,63,20,7,9,3
177,80,0.846879334257975,511,88,19,4,22,1
178,70,0.846879334257975,511,88,19,4,22,1
179,80,0.8450300508552936,959,32,19,4,8,2
180,80,0.8447526583448913,1000,30,20,2,15,1
181,80,0.8437355524734166,627,56,19,7,8,4
182,80,0.8408691631992603,928,34,20,2,17,1
183,80,0.8369856680536292,582,63,19,7,9,3
184,80,0.8330097087378641,943,32,19,4,8,2
185,80,0.8319926028663893,867,36,19,4,9,1
186,80,0.8319001386962552,501,88,19,4,22,1
187,80,0.8307905686546463,650,54,19,6,9,1
188,80,0.8285714285714286,864,38,20,2,19,1
189,80,0.8284789644012945,764,42,20,6,7,3
190,80,0.8273693943596856,538,72,19,8,9,5
191,80,0.8269995376791494,511,84,20,4,21,2
192,70,0.8269995376791494,511,84,20,4,21,2
193,80,0.8248728617660657,535,72,19,8,9,5
194,80,0.8233009708737864,929,32,20,2,16,1
195,80,0.8218215441516412,928,32,20,2,16,1
196,80,0.8169209431345353,511,77,19,7,11,1
197,80,0.8163661581137309,502,81,18,9,9,7
198,70,0.8163661581137309,502,81,18,9,9,7
199,80,0.8134073046694406,743,42,19,6,7,3
200,80,0.808876560332871,843,36,19,2,18,1
201,80,0.807582061950994,669,52,20,4,13,1
202,70,0.807582061950994,669,52,20,4,13,1
203,80,0.8074895977808599,865,34,19,2,17,1
204,80,0.8070272769301895,930,30,20,2,15,1
205,80,0.8061026352288488,835,36,19,4,9,1
206,80,0.8053629218677762,929,30,20,2,15,1
207,80,0.8048081368469718,630,54,19,6,9,1
208,80,0.8043458159963014,928,30,19,2,15,1
209,80,0.8043458159963014,928,30,20,2,15,1
210,80,0.8019417475728156,501,77,19,7,11,1
211,80,0.7995376791493296,691,51,17,3,17,2
212,80,0.7994452149791955,859,34,20,2,17,1
