,case,coverage,altitude,num_sats,inclinatiom,num_planes,num_sats_per_plane,phasing
0,100,1.0,511,180,19,9,20,3
1,50,1.0,511,180,20,12,15,5
2,50,1.0,511,180,19,12,15,5
3,100,1.0,607,132,19,6,22,1
4,100,1.0,772,84,19,12,7,10
5,100,1.0,772,84,20,12,7,1
6,100,1.0,772,84,19,12,7,1
7,100,1.0,854,70,19,7,10,1
8,100,0.9996301433194638,825,77,19,11,7,9
9,100,0.9994452149791956,583,132,19,6,22,1
10,50,0.9994452149791956,583,132,19,6,22,1
11,100,0.9994452149791956,745,84,19,12,7,1
12,100,0.9991678224687933,579,132,19,6,22,1
13,100,0.9990753582986592,837,70,19,7,10,1
14,100,0.9988904299583912,691,98,22,7,14,6
15,100,0.998705501618123,621,110,19,5,22,1
16,100,0.9985205732778548,727,84,19,12,7,1
17,100,0.9984281091077207,724,84,19,12,7,1
18,100,0.997411003236246,699,84,19,12,7,1
19,100,0.9969486823855755,552,144,20,12,12,7
20,100,0.996301433194637,801,70,19,7,10,1
21,100,0.9935275080906149,691,91,19,13,7,2
22,100,0.991123439667129,772,70,18,10,7,7
23,100,0.9868700878409616,665,91,19,13,7,2
24,100,0.9864077669902913,857,63,21,7,9,2
25,50,0.9864077669902913,857,63,21,7,9,2
26,100,0.9853906611188165,756,70,19,7,10,1
27,100,0.9828016643550624,675,84,20,12,7,1
28,100,0.9777161349976884,607,98,21,7,14,6
29,100,0.9724456773000463,513,132,19,6,22,1
30,50,0.9724456773000463,513,132,19,6,22,1
31,100,0.9720758206195099,511,132,19,6,22,1
32,100,0.9661581137309293,643,84,18,12,7,10
33,100,0.9621821544151641,703,70,19,7,10,1
34,100,0.9596856218215442,633,84,19,12,7,1
35,100,0.9567267683772538,625,80,19,4,20,3
36,100,0.9547850208044383,691,70,19,7,10,2
37,100,0.9536754507628294,859,49,19,7,7,5
38,100,0.9528432732316228,854,49,19,7,7,5
39,100,0.9484974572353213,607,90,19,9,10,3
40,100,0.946925566343042,581,90,19,6,15,1
41,100,0.9449838187702265,837,50,20,10,5,9
42,100,0.9406380027739251,610,84,19,12,7,1
43,100,0.9172445677300046,772,49,19,7,7,5
44,100,0.9094775774387425,582,84,19,12,7,1
45,100,0.8974572353213129,604,70,19,7,10,2
46,100,0.8889505316689783,577,84,19,12,7,2
47,100,0.888673139158576,513,98,21,7,14,6
48,100,0.8748035136384651,989,35,17,5,7,1
49,100,0.8731391585760517,805,42,20,7,6,6
