,case,coverage,altitude,num_sats,inclinatiom,num_planes,num_sats_per_plane,phasing
112,99,0.8933888118354137,552,84,19,4,21,2
113,99,0.8930189551548775,539,88,20,4,22,1
114,99,0.891169671752196,527,90,19,5,18,1
115,99,0.8903374942209894,550,84,19,4,21,2
116,99,0.8896902450300509,767,52,20,4,13,1
117,99,0.8879334257975035,689,63,19,3,21,2
118,99,0.8837725381414702,501,100,19,5,20,3
119,99,0.8819232547387887,583,70,19,7,10,2
120,99,0.8767452612112806,513,98,19,7,14,6
121,99,0.8761904761904762,527,88,19,4,22,1
122,99,0.874711049468331,689,55,19,5,11,2
123,99,0.8707350901525659,513,90,19,5,18,1
124,99,0.8641701340730467,552,77,20,7,11,1
125,99,0.8635228848821082,635,65,19,5,13,1
126,99,0.8627831715210356,582,72,19,4,18,1
127,99,0.8583448913546001,630,66,17,3,22,1
128,99,0.858252427184466,630,65,19,5,13,1
129,99,0.8537216828478964,627,63,21,7,9,3
130,99,0.8530744336569579,527,84,19,4,21,2
131,99,0.8502080443828016,513,88,19,4,22,1
132,99,0.8438280166435507,527,77,19,7,11,1
133,99,0.8361534905224226,938,35,19,7,5,4
134,99,0.8353213129912159,837,40,19,4,10,1
135,99,0.8319001386962552,501,88,19,4,22,1
136,99,0.830328247803976,719,48,21,6,8,2
137,99,0.8300508552935737,513,84,19,4,21,2
138,99,0.8300508552935737,689,52,19,4,13,1
139,99,0.8285714285714286,604,65,19,5,13,1
140,99,0.8256125751271383,823,40,20,4,10,1
141,99,0.8211742949607027,815,42,19,2,21,1
142,99,0.8210818307905686,552,72,19,4,18,1
143,99,0.820342117429496,513,77,19,7,11,1
144,99,0.8184003698566805,501,85,19,5,17,1
145,99,0.8172907998150717,550,72,19,4,18,1
146,99,0.8163661581137309,502,81,18,9,9,7
147,90,0.8163661581137309,502,81,18,9,9,7
148,99,0.8117429496070273,635,56,19,4,14,1
149,99,0.8109107720758206,669,52,19,4,13,1
150,90,0.8109107720758206,669,52,19,4,13,1
151,99,0.810078594544614,501,84,19,4,21,2
152,99,0.8057327785483125,550,70,21,7,10,2
153,99,0.8057327785483125,843,38,21,2,19,1
154,90,0.8057327785483125,843,38,21,2,19,1
155,99,0.8046232085067037,837,36,19,2,18,1
156,99,0.8039759593157652,633,56,20,4,14,1
157,99,0.8019417475728156,501,77,19,7,11,1
158,99,0.8018492834026815,635,55,20,5,11,2
159,99,0.801294498381877,801,40,19,4,10,1
160,99,0.8005547850208045,860,34,18,2,17,1
161,99,0.7998150716597319,623,55,19,5,11,2
