constellation,Coverage (%),SNR (dB),Throughput (Mbps),Availability (%)
503km (case 90),99.98659055113824,21.829961103077537,203.1559462377813,99.09632247532414
665km (case 95),100.0,19.64795475179298,189.26974460237085,98.92997531975642
598km (case 80),100.0,20.624607487324464,194.7634171162001,99.01721921462928
