constellation,Coverage Stability,SNR Stability,Throughput Stability
503km (case 90),0.09161886729067334,0.4671781525075222,0.4506830622975028
665km (case 95),0.0,0.33182413208904205,0.1937607610668534
598km (case 80),0.0,0.29133626519222705,0.17353831718128293
