,case,coverage,altitude,num_sats,inclinatiom,num_planes,num_sats_per_plane,phasing
113,80,0.9143781784558483,650,68,19,4,17,2
114,80,0.9136384650947758,610,72,19,6,12,4
115,80,0.9111419325011558,565,84,19,4,21,2
116,80,0.9048543689320389,667,64,20,4,16,3
117,80,0.9026352288488211,764,52,20,4,13,2
118,80,0.9017105871474803,773,48,19,6,8,2
119,80,0.9013407304669441,772,48,19,6,8,2
120,80,0.9006934812760056,843,42,19,6,7,3
121,80,0.9006010171058715,663,64,20,4,16,3
122,80,0.9005085529357374,601,72,19,8,9,5
123,80,0.9000462320850671,989,36,20,4,9,1
124,80,0.8967175219602405,714,54,19,6,9,1
125,80,0.8951456310679612,835,42,19,6,7,3
126,80,0.8929264909847434,565,77,19,7,11,1
127,80,0.8902450300508553,764,48,20,6,8,2
128,80,0.8881183541377716,513,96,19,4,24,3
129,80,0.8878409616273694,625,68,19,4,17,2
130,95,0.8878409616273694,625,68,19,4,17,2
131,80,0.8870087840961627,511,91,19,7,13,6
132,80,0.8861766065649561,691,60,19,4,15,3
133,95,0.8861766065649561,691,60,19,4,15,3
134,80,0.8851595006934813,627,63,19,7,9,3
135,80,0.8846971798428109,959,36,19,4,9,1
136,80,0.8826629680998613,587,76,19,4,19,3
137,80,0.8779472954230236,531,88,21,4,22,1
138,80,0.877300046232085,722,49,19,7,7,5
139,80,0.8770226537216829,541,84,19,4,21,2
140,80,0.874711049468331,743,48,19,6,8,2
141,80,0.8703652334720295,538,84,19,4,21,2
142,80,0.869625520110957,801,42,19,6,7,3
143,80,0.8688858067498845,989,34,20,2,17,1
144,80,0.8666666666666667,565,72,19,8,9,5
145,80,0.8665742024965326,923,36,19,4,9,1
146,80,0.8651872399445215,535,84,19,4,21,2
147,80,0.8625982431807675,989,32,20,4,8,2
148,80,0.860748959778086,915,36,19,4,9,1
149,80,0.8574202496532594,520,88,21,4,22,1
150,80,0.8567730004623209,535,81,19,9,9,7
151,80,0.8564031437817845,722,48,19,6,8,2
152,80,0.8535367545076283,772,45,17,5,9,4
153,80,0.8534442903374942,720,48,19,6,8,2
154,80,0.8528895053166898,953,34,19,2,17,1
155,80,0.8513176144244106,896,36,19,4,9,1
156,80,0.849283402681461,535,80,19,5,16,2
157,80,0.8488210818307905,714,48,19,6,8,2
158,80,0.8483587609801202,943,34,19,2,17,1
159,80,0.8478039759593158,667,56,19,4,14,1
160,80,0.8471567267683773,601,63,20,7,9,3
161,80,0.846879334257975,511,88,19,4,22,1
162,80,0.8450300508552936,959,32,19,4,8,2
163,80,0.8447526583448913,1000,30,20,2,15,1
164,80,0.8439204808136846,772,42,19,6,7,3
165,80,0.8437355524734166,627,56,19,7,8,4
166,80,0.8408691631992603,928,34,20,2,17,1
167,80,0.8396671289875174,989,30,20,2,15,1
168,80,0.8369856680536292,582,63,19,7,9,3
169,80,0.8330097087378641,943,32,19,4,8,2
170,80,0.8319926028663893,867,36,19,4,9,1
171,80,0.8319001386962552,501,88,19,4,22,1
172,80,0.8307905686546463,650,54,19,6,9,1
173,95,0.8307905686546463,650,54,19,6,9,1
174,80,0.8285714285714286,864,38,20,2,19,1
175,80,0.8284789644012945,764,42,20,6,7,3
176,80,0.8273693943596856,538,72,19,8,9,5
177,80,0.8269995376791494,511,84,20,4,21,2
178,80,0.8248728617660657,535,72,19,8,9,5
179,80,0.8233009708737864,929,32,20,2,16,1
180,80,0.8218215441516412,928,32,20,2,16,1
181,80,0.820157189089228,923,32,19,4,8,2
182,80,0.8169209431345353,511,77,19,7,11,1
183,80,0.8163661581137309,502,81,18,9,9,7
184,90,0.8163661581137309,502,81,18,9,9,7
185,95,0.8163661581137309,502,81,18,9,9,7
186,80,0.8134073046694406,743,42,19,6,7,3
187,80,0.810078594544614,501,84,19,4,21,2
188,80,0.808876560332871,843,36,19,2,18,1
189,80,0.8074895977808599,865,34,19,2,17,1
190,80,0.8070272769301895,930,30,20,2,15,1
191,80,0.8061026352288488,835,36,19,4,9,1
192,80,0.8053629218677762,929,30,20,2,15,1
193,80,0.8048081368469718,630,54,19,6,9,1
194,80,0.8043458159963014,928,30,19,2,15,1
195,80,0.8043458159963014,928,30,20,2,15,1
196,80,0.8019417475728156,501,77,19,7,11,1
197,80,0.7994452149791955,859,34,20,2,17,1
198,80,0.7983356449375867,896,32,19,4,8,2
199,80,0.7978733240869164,602,60,19,4,15,3
200,90,0.7978733240869164,602,60,19,4,15,3
201,80,0.7973185390661118,694,49,22,7,7,5
202,80,0.7959315765141007,848,34,19,2,17,1
203,80,0.7952843273231622,711,45,19,5,9,4
