,case,coverage,altitude,num_sats,inclinatiom,num_planes,num_sats_per_plane,phasing
307,50,0.5838187702265372,743,28,18,2,14,1
308,50,0.5834489135460009,625,36,20,2,18,1
309,50,0.5812297734627832,533,46,20,2,23,1
310,50,0.5803975959315765,535,44,18,2,22,1
311,50,0.5801202034211743,768,27,19,3,9,2
312,50,0.5780859916782247,638,34,18,2,17,1
313,50,0.5777161349976884,511,49,19,7,7,5
314,50,0.5761442441054092,779,26,19,2,13,1
315,50,0.5742949607027277,961,20,20,2,10,1
316,50,0.5733703190013869,730,28,18,2,14,1
317,50,0.5707813222376329,601,39,20,3,13,1
318,50,0.5701340730466944,821,24,19,2,12,1
319,50,0.5690245030050856,755,27,19,3,9,2
320,50,0.5679149329634766,547,42,19,2,21,1
321,50,0.5677300046232086,513,46,18,2,23,1
322,80,0.5677300046232086,513,46,18,2,23,1
323,50,0.5673601479426722,565,40,18,8,5,1
324,50,0.5667128987517337,769,26,19,2,13,1
325,50,0.5644937586685159,501,49,17,7,7,5
326,50,0.5602404068423485,625,34,19,2,17,1
327,50,0.5586685159500694,623,34,18,2,17,1
328,50,0.5583911234396671,719,28,19,2,14,1
329,50,0.5542302357836338,684,30,18,2,15,1
330,50,0.5538603791030976,511,46,20,2,23,1
331,50,0.5533055940822931,929,21,18,7,3,2
332,50,0.5525658807212205,618,34,19,2,17,1
333,50,0.5504392048081368,929,20,19,2,10,1
334,50,0.5499768839574665,502,46,18,2,23,1
335,50,0.548127600554785,535,42,18,14,3,3
336,50,0.5476652797041146,671,30,18,6,5,3
337,50,0.5464632454923717,528,44,21,2,22,1
338,50,0.5462783171521035,730,27,19,3,9,2
339,50,0.5441516412390199,589,36,19,2,18,1
340,50,0.5419325011558022,513,44,18,2,22,1
341,50,0.5410078594544614,724,27,19,3,9,2
342,50,0.5401756819232547,501,46,19,2,23,1
343,50,0.5395284327323162,722,27,18,3,9,2
344,50,0.539343504392048,662,30,18,10,3,1
345,50,0.539343504392048,909,20,19,2,10,1
346,50,0.5357374017568193,581,36,19,4,9,1
347,50,0.5349976883957467,525,42,19,2,21,1
348,50,0.5343504392048082,904,20,19,4,5,1
349,50,0.5334257975034674,889,21,19,7,3,2
350,50,0.5323162274618586,735,26,19,2,13,1
351,50,0.5258437355524734,684,28,18,2,14,1
352,50,0.5251964863615349,650,30,18,2,15,1
353,50,0.5250115580212668,501,44,18,2,22,1
354,50,0.5248266296809986,724,26,19,2,13,1
355,50,0.5245492371705964,535,40,19,2,20,1
356,50,0.5229773462783172,551,39,19,3,13,1
357,50,0.5178918169209431,513,42,18,14,3,3
358,50,0.517614424410541,547,39,17,3,13,1
359,50,0.5166897827092002,867,21,19,7,3,2
360,50,0.5119741100323625,961,18,20,2,9,1
361,50,0.5104022191400832,511,42,19,2,21,1
362,50,0.5103097549699491,581,34,19,2,17,1
363,50,0.5092926490984744,525,40,19,2,20,1
364,50,0.5074433656957928,685,27,18,3,9,2
365,50,0.5055016181229773,802,24,18,3,8,2
366,50,0.5033749422098936,859,20,19,2,10,1
367,50,0.5006934812760055,502,42,18,14,3,3
368,50,0.49865926953305595,501,42,18,14,3,3
369,50,0.4964401294498382,563,36,16,2,18,1
370,50,0.4925566343042071,625,30,18,2,15,1
371,50,0.4922792417938049,552,36,17,3,12,2
372,50,0.4902450300508553,928,18,19,2,9,1
373,50,0.4887656033287101,547,36,18,3,12,2
374,50,0.4882108183079057,650,28,19,2,14,1
375,50,0.4882108183079057,650,28,18,2,14,1
376,50,0.4868238557558946,618,30,18,2,15,1
377,50,0.4867313915857605,511,40,19,2,20,1
378,50,0.4858067498844198,735,25,17,5,5,3
379,50,0.4850670365233472,730,24,20,6,4,4
380,50,0.48488210818307903,684,26,19,2,13,1
381,50,0.4815533980582524,909,18,19,2,9,1
382,50,0.47933425797503465,565,34,19,2,17,1
383,50,0.47656033287101246,638,28,18,2,14,1
384,50,0.47572815533980584,817,20,19,2,10,1
