,generation,index,coverage,altitude,num_sats,inclination,num_planes,num_sats_per_plane,phasing
241,4,42,1.0,610,216,18,9,24,1
242,4,43,1.0,610,216,18,9,24,4
243,4,44,1.0,848,126,19,7,18,5
244,4,45,1.0,865,92,19,4,23,3
245,4,46,0.9989828941285251,860,88,23,4,22,1
246,4,47,0.9904761904761905,635,240,15,12,20,1
247,4,48,1.0,610,260,18,13,20,3
248,4,49,1.0,848,132,16,6,22,5
249,4,50,0.9986130374479889,848,126,16,7,18,5
250,5,1,0.9917706888580675,988,66,17,3,22,1
251,5,2,1.0,665,135,22,9,15,2
252,5,3,1.0,513,276,23,12,23,3
253,5,4,0.997595931576514,801,91,19,13,7,1
254,5,5,0.997595931576514,801,91,19,13,7,1
255,5,6,1.0,635,154,19,7,22,1
256,5,7,1.0,635,154,19,7,22,2
257,5,8,1.0,635,154,19,7,22,5
258,5,9,1.0,635,154,22,7,22,4
259,5,10,0.9950993989828941,552,126,20,7,18,2
260,5,11,0.9950993989828941,552,126,20,7,18,2
261,5,12,1.0,860,90,19,5,18,1
262,5,13,1.0,860,90,19,5,18,1
263,5,14,0.9999075358298659,837,72,20,4,18,1
264,5,15,0.9959315765141008,811,90,23,5,18,4
265,5,16,1.0,552,216,20,9,24,1
266,5,17,1.0,552,216,20,9,24,6
267,5,18,1.0,801,98,19,7,14,6
268,5,19,1.0,772,105,20,7,15,2
269,5,20,0.9909385113268608,552,117,20,9,13,1
270,5,21,1.0,932,84,21,4,21,2
271,5,22,0.9985205732778548,835,91,22,7,13,5
272,5,23,0.9965788257050393,650,133,25,7,19,4
273,5,24,1.0,691,135,22,9,15,2
274,5,25,1.0,665,152,22,8,19,2
275,5,26,1.0,665,152,22,8,19,2
276,5,27,0.9969486823855755,665,135,22,9,15,1
277,5,28,0.9969486823855755,665,135,22,9,15,1
278,5,29,0.9928802588996763,805,91,16,7,13,5
279,5,30,1.0,860,91,19,7,13,5
280,5,31,0.9950993989828941,872,84,16,4,21,1
281,5,32,0.9997226074895977,852,88,22,4,22,2
282,5,33,0.9922330097087378,852,72,23,4,18,1
283,5,34,0.9999075358298659,886,88,23,4,22,2
284,5,35,0.9926953305594083,811,90,23,5,18,1
285,5,36,0.9942672214516874,837,90,23,5,18,1
286,5,37,0.9988904299583912,552,216,25,12,18,2
287,5,38,1.0,607,216,25,12,18,2
288,5,39,1.0,607,216,16,12,18,2
289,5,40,1.0,607,216,16,12,18,2
290,5,41,1.0,552,286,17,13,22,2
291,5,42,1.0,848,98,22,7,14,6
292,5,43,1.0,772,126,20,7,18,2
293,5,44,1.0,801,112,19,8,14,6
294,5,45,0.9900138696255201,635,135,22,9,15,1
295,5,46,0.9954692556634305,835,91,16,7,13,5
296,5,47,0.9936199722607489,650,190,25,10,19,4
297,5,48,0.9936199722607489,650,190,25,10,19,4
298,5,49,1.0,860,92,20,4,23,1
299,5,50,0.9990753582986592,852,88,23,4,22,2
300,6,1,0.9917706888580675,988,66,17,3,22,1
