,generation,index,coverage,altitude,num_sats,inclination,num_planes,num_sats_per_plane,phasing
106,2,7,0.9813222376329173,739,90,23,5,18,1
107,2,8,0.8042533518261673,874,42,22,14,3,13
108,2,9,0.8042533518261673,874,42,22,14,3,13
109,2,10,0.9426722145168747,772,66,17,3,22,2
110,2,11,1.0,691,135,22,9,15,2
111,2,12,0.8466019417475729,860,44,19,2,22,1
112,2,13,1.0,859,112,20,14,8,4
113,2,14,0.9975034674063801,583,135,22,9,15,2
114,2,15,0.8402219140083218,665,72,16,6,12,5
115,2,16,0.9446139620896903,607,115,16,5,23,3
116,2,17,0.9117891816920943,835,54,21,6,9,2
117,2,18,0.8312528895053167,722,51,17,3,17,2
118,2,19,0.9630143319463708,552,198,25,11,18,2
119,2,20,0.997595931576514,801,91,19,13,7,1
120,2,21,0.9255663430420712,610,90,23,5,18,1
121,2,22,1.0,739,133,23,7,19,4
122,2,23,0.9920480813684697,722,119,16,7,17,2
123,2,24,1.0,583,147,22,7,21,2
124,2,25,1.0,865,91,19,7,13,5
125,2,26,0.9561719833564494,943,51,16,3,17,2
126,2,27,1.0,993,81,18,9,9,4
127,2,28,0.9742024965325936,650,120,16,10,12,4
128,2,29,0.8682385575589459,535,91,19,13,7,1
129,2,30,1.0,513,230,23,10,23,3
130,2,31,0.9988904299583912,852,96,23,4,24,2
131,2,32,0.994914470642626,852,88,23,4,22,3
132,2,33,0.8842348589921405,811,80,25,10,8,4
133,2,34,1.0,859,120,20,10,12,4
134,2,35,0.9302820157189089,607,115,25,5,23,1
135,2,36,0.9928802588996763,805,91,16,7,13,5
136,2,37,1.0,835,147,22,7,21,4
137,2,38,1.0,835,147,22,7,21,2
138,2,39,1.0,722,176,17,8,22,6
139,2,40,1.0,607,216,22,12,18,3
140,2,41,1.0,745,160,17,10,16,2
141,2,42,0.9999075358298659,872,92,16,4,23,1
142,2,43,1.0,931,91,16,7,13,5
143,2,44,0.9533055940822931,945,72,16,6,12,2
144,2,45,0.9121590383726306,943,63,16,7,9,4
145,2,46,0.9727230698104484,650,120,25,10,12,4
146,2,47,1.0,513,276,23,12,23,3
147,2,48,0.9904761904761905,635,240,15,12,20,1
148,2,49,0.9998150716597318,988,105,25,5,21,1
149,2,50,1.0,967,132,24,12,11,5
150,3,1,0.9988904299583912,552,216,25,12,18,2
151,3,2,0.8339343504392048,513,92,23,4,23,3
152,3,3,0.8339343504392048,513,92,23,4,23,3
153,3,4,0.9478502080443828,859,56,23,7,8,4
154,3,5,0.9257512713823394,857,54,21,6,9,2
155,3,6,0.8644475265834489,694,72,16,6,12,5
156,3,7,0.9990753582986592,852,88,23,4,22,2
157,3,8,0.9813222376329173,739,90,23,5,18,1
158,3,9,0.8042533518261673,874,42,22,14,3,13
159,3,10,0.8042533518261673,874,42,22,14,3,13
160,3,11,0.9426722145168747,772,66,17,3,22,2
161,3,12,1.0,691,135,22,9,15,2
162,3,13,0.8466019417475729,860,44,19,2,22,1
163,3,14,1.0,859,112,20,14,8,4
164,3,15,0.9975034674063801,583,135,22,9,15,2
165,3,16,0.8402219140083218,665,72,16,6,12,5
166,3,17,0.9446139620896903,607,115,16,5,23,3
