,generation,index,coverage,altitude,num_sats,inclination,num_planes,num_sats_per_plane,phasing
104,2,5,0.9257512713823394,857,54,21,6,9,2
105,2,6,0.9727230698104484,650,120,25,10,12,4
106,2,7,0.9727230698104484,650,120,25,10,12,4
107,2,8,0.7586685159500693,825,36,20,3,12,2
108,2,9,0.7915857605177994,685,51,18,3,17,2
109,2,10,0.9813222376329173,739,90,23,5,18,1
110,2,11,0.8042533518261673,874,42,22,14,3,13
111,2,12,0.9426722145168747,772,66,17,3,22,2
112,2,13,0.7102172907998151,984,27,23,3,9,2
113,2,14,1.0,691,135,22,9,15,2
114,2,15,0.9389736477115118,573,90,19,5,18,1
115,2,16,0.8466019417475729,860,44,19,2,22,1
116,2,17,0.8601017105871475,513,276,15,12,23,3
117,2,18,0.6794267221451687,578,54,21,6,9,5
118,2,19,0.561997226074896,804,40,16,10,4,5
119,2,20,0.7744798890429958,665,54,21,6,9,2
120,2,21,0.9813222376329173,852,72,23,4,18,3
121,2,22,0.9558945908460471,874,56,23,7,8,4
122,2,23,0.9647711511789182,825,72,20,3,24,2
123,2,24,0.8646324549237171,722,54,17,9,6,6
124,2,25,0.970873786407767,552,162,25,9,18,2
125,2,26,0.970873786407767,552,162,25,9,18,2
126,2,27,0.997595931576514,801,91,19,13,7,1
127,2,28,0.9184466019417475,610,88,23,4,22,1
128,2,29,0.9324086916319926,811,63,16,7,9,1
129,2,30,0.9864077669902913,857,63,21,7,9,2
130,2,31,0.8661118816458623,852,54,23,3,18,2
131,2,32,0.8626907073509015,859,45,15,3,15,2
132,2,33,0.8757281553398059,874,45,15,3,15,2
133,2,34,1.0,821,120,17,10,12,5
134,2,35,0.7825242718446602,573,72,20,3,24,1
135,2,36,1.0,825,88,20,4,22,2
136,2,37,0.9262135922330097,694,72,19,6,12,5
137,2,38,0.7739251040221914,547,85,18,5,17,3
138,2,39,0.7833564493758669,872,36,16,3,12,2
139,2,40,0.5816920943134536,513,78,20,13,6,1
140,2,41,0.993712436430883,945,85,25,5,17,2
141,2,42,0.9600554785020804,730,72,22,6,12,4
142,2,43,1.0,681,180,23,10,18,1
143,2,44,0.8345815996301433,578,72,20,6,12,5
144,2,45,0.8895977808599168,547,102,18,6,17,3
