,generation,nevals,new_hof,coverage_max,coverage_min,coverage_mean,coverage_std,altitude_max,altitude_min,altitude_mean,altitude_std,costs_max,costs_min,costs_mean,costs_std,coverage_gen,coverage_nevals,coverage_new_hof,altitude_gen,altitude_nevals,altitude_new_hof,costs_gen,costs_nevals,costs_new_hof
0,0,50,33,1.0,0.009986130374479889,0.6523143781784558,0.34144549941169766,993.0,513.0,760.64,144.81170670909174,286.0,1.0,75.4,64.50519358935372,0,50,33,0,50,33,0,50,33
1,1,50,22,1.0,0.8339343504392048,0.9713102172907999,0.04844157911835719,993.0,513.0,792.96,130.28859658465893,312.0,44.0,144.56,73.01565859457818,1,50,22,1,50,22,1,50,22
2,2,50,16,1.0,0.9904761904761905,0.998605640314378,0.0026286404082530843,988.0,513.0,800.7,110.370874781348,312.0,66.0,160.58,63.88148088452552,2,50,16,2,50,16,2,50,16
3,3,50,9,1.0,0.9900138696255201,0.9980342117429495,0.002958206702318488,988.0,513.0,767.92,119.8281836631099,286.0,66.0,137.84,57.88380084272283,3,50,9,3,50,9,3,50,9
4,4,50,12,1.0,0.9900138696255201,0.9977642163661581,0.0032024489786666964,988.0,513.0,735.26,121.02971701198017,286.0,66.0,139.32,58.595713153779435,4,50,12,4,50,12,4,50,12
5,5,50,13,1.0,0.9900138696255201,0.9978085991678225,0.002978164559923007,988.0,513.0,727.6,123.80452334224304,286.0,66.0,132.08,53.39469636583769,5,50,13,5,50,13,5,50,13
6,6,50,7,1.0,0.9900138696255201,0.9976569579288026,0.003184829519247086,989.0,513.0,721.74,127.71966332558195,276.0,66.0,126.62,44.980391283313665,6,50,7,6,50,7,6,50,7
7,7,50,11,1.0,0.9900138696255201,0.9975700416088764,0.0034224755431653915,989.0,513.0,740.5,128.13652874961144,276.0,66.0,114.76,37.922847994316044,7,50,11,7,50,11,7,50,11
8,8,50,8,1.0,0.9900138696255201,0.9977327785483127,0.0031600698502411632,989.0,513.0,739.86,139.7317444248085,276.0,66.0,115.0,40.87982387437598,8,50,8,8,50,8,8,50,8
9,9,50,8,1.0,0.9909385113268608,0.9970947757743874,0.0034652773244758773,988.0,513.0,725.4,139.07925797903872,276.0,66.0,110.54,35.935614646197436,9,50,8,9,50,8,9,50,8
10,10,50,8,1.0,0.9909385113268608,0.9971410078594545,0.003266948476685667,988.0,513.0,716.92,136.64023419183678,276.0,66.0,110.68,35.19002131286652,10,50,8,10,50,8,10,50,8
11,11,50,10,1.0,0.9909385113268608,0.9974831252889506,0.0030606221352590525,988.0,513.0,716.26,136.81429896030605,276.0,66.0,109.36,35.36255646867178,11,50,10,11,50,10,11,50,10
12,12,50,13,1.0,0.9909385113268608,0.9974368932038834,0.0030914045349873403,988.0,513.0,700.66,130.07084377369125,276.0,66.0,111.16,35.06699873100063,12,50,13,12,50,13,12,50,13
13,13,50,7,1.0,0.9909385113268608,0.9980342117429497,0.0030329832057220214,988.0,513.0,693.1,128.34956174447967,276.0,66.0,112.72,36.35988998883248,13,50,7,13,50,7,13,50,7
14,14,50,8,1.0,0.9909385113268608,0.9976199722607488,0.003266318764426919,988.0,513.0,670.74,121.03897058385782,276.0,66.0,118.6,41.902744540184955,14,50,8,14,50,8,14,50,8
15,15,50,5,1.0,0.9909385113268608,0.997845584835876,0.0031559553268489483,988.0,513.0,671.58,116.2659176199113,276.0,66.0,118.08,41.464606594058026,15,50,5,15,50,5,15,50,5
16,16,50,10,1.0,0.9901987979657882,0.9978030513176144,0.0030846778878890705,993.0,513.0,662.34,123.31660228858075,276.0,56.0,120.42,41.78807964001217,16,50,10,16,50,10,16,50,10
17,17,50,5,1.0,0.9901987979657882,0.9978992140545537,0.0030293294247322857,993.0,513.0,669.0,119.36716466432468,264.0,56.0,115.22,35.057832220489615,17,50,5,17,50,5,17,50,5
18,18,50,11,1.0,0.9901987979657882,0.9980397595931575,0.00314774980063168,993.0,513.0,680.58,120.95521319893574,264.0,56.0,113.02,35.246270724716396,18,50,11,18,50,11,18,50,11
19,19,50,9,1.0,0.9901987979657882,0.9983208506703654,0.0029008036530528756,993.0,513.0,675.9,122.96035946596773,264.0,56.0,116.16,34.483828093760124,19,50,9,19,50,9,19,50,9
20,20,50,5,1.0,0.9901987979657882,0.9975626444752658,0.003208533883206817,993.0,513.0,703.96,143.8300330250953,264.0,56.0,109.94,37.32152729993776,20,50,5,20,50,5,20,50,5
21,21,50,7,1.0,0.9901987979657882,0.9972815533980582,0.0031658413996015987,993.0,513.0,713.18,151.2618511059547,264.0,56.0,107.36,43.44548768284228,21,50,7,21,50,7,21,50,7
22,22,50,8,1.0,0.9909385113268608,0.9970892279241795,0.0029908830428869116,993.0,513.0,714.92,151.39561948748718,264.0,56.0,103.28,38.72623916674584,22,50,8,22,50,8,22,50,8
23,23,50,10,1.0,0.9909385113268608,0.9973666204345816,0.0031353529823924084,988.0,513.0,663.24,120.54834051118249,264.0,56.0,112.76,38.92328865859102,23,50,10,23,50,10,23,50,10
24,24,50,6,1.0,0.9909385113268608,0.997788257050393,0.0031448063381761017,988.0,513.0,653.84,118.31016186279182,264.0,56.0,116.62,39.17442533082011,24,50,6,24,50,6,24,50,6
