,generation,nevals,new_hof,coverage_max,coverage_min,coverage_mean,coverage_std,altitude_max,altitude_min,altitude_mean,altitude_std,costs_max,costs_min,costs_mean,costs_std,coverage_gen,coverage_nevals,coverage_new_hof,altitude_gen,altitude_nevals,altitude_new_hof,costs_gen,costs_nevals,costs_new_hof
0,0,50,33,1.0,0.009986130374479889,0.6523143781784558,0.34144549941169766,993.0,513.0,760.64,144.8117067090917,286.0,1.0,75.4,64.50519358935372,0,50,33,0,50,33,0,50,33
1,1,50,26,1.0,0.7071659731853907,0.8985963938973647,0.1000832304643805,988.0,513.0,735.34,135.25422137589644,260.0,27.0,101.68,55.336223217707946,1,50,26,1,50,26,1,50,26
2,2,50,21,1.0,0.7045769764216366,0.9091428571428571,0.09621184224014857,988.0,513.0,719.04,132.64659211604345,221.0,27.0,96.14,54.306541042493215,2,50,21,2,50,21,2,50,21
3,3,50,22,1.0,0.7045769764216366,0.899169671752196,0.09562327656406922,988.0,513.0,711.9,129.79202594920847,221.0,27.0,89.34,49.164055975885475,3,50,22,3,50,22,3,50,22
4,4,50,26,1.0,0.7102172907998151,0.9027998150716597,0.09263172666698836,988.0,513.0,697.78,131.1546095263144,221.0,27.0,92.68,50.67482215064992,4,50,26,4,50,26,4,50,26
5,5,50,19,1.0,0.7102172907998151,0.9053481276005548,0.09240364845005795,988.0,513.0,692.54,131.34096238417015,221.0,27.0,94.06,50.89416862470592,5,50,19,5,50,19,5,50,19
6,6,50,20,1.0,0.7102172907998151,0.9042145168747111,0.09352884013193931,989.0,513.0,704.26,137.0498901860195,221.0,27.0,90.88,49.93541428685658,6,50,20,6,50,20,6,50,20
7,7,50,18,1.0,0.7102172907998151,0.9039426722145169,0.09613377886470442,988.0,513.0,695.74,139.28959903740122,230.0,27.0,93.1,52.207374957950144,7,50,18,7,50,18,7,50,18
8,8,50,18,1.0,0.7028201571890892,0.8957540453074434,0.10062219680302745,988.0,513.0,700.56,136.83744516761485,230.0,27.0,88.4,50.28319798899032,8,50,18,8,50,18,8,50,18
9,9,50,22,1.0,0.7028201571890892,0.8913712436430882,0.10100110925984608,988.0,513.0,708.42,135.87922431335852,230.0,27.0,85.16,49.21112069441215,9,50,22,9,50,22,9,50,22
10,10,50,19,1.0,0.7028201571890892,0.8898049006010171,0.10253165597018037,988.0,513.0,707.84,135.8110982210217,221.0,27.0,84.54,48.68684011106081,10,50,19,10,50,19,10,50,19
