,case,coverage,altitude,num_sats,inclinatiom,num_planes,num_sats_per_plane,phasing
537,80,0.5677300046232086,691,30,19,2,15,1
538,80,0.5643088303282479,722,28,19,4,7,3
539,80,0.5615349052242257,970,21,22,7,3,2
540,80,0.5597780859916782,535,45,19,3,15,2
541,80,0.55959315765141,501,49,19,7,7,5
542,80,0.5591308368007397,650,32,19,4,8,2
543,80,0.5591308368007397,867,22,19,2,11,1
544,80,0.5570966250577901,623,34,19,2,17,1
545,80,0.5484049930651872,501,48,19,6,8,2
546,80,0.5474803513638465,525,45,17,3,15,2
547,80,0.545538603791031,675,30,20,6,5,3
548,80,0.545538603791031,675,30,20,2,15,1
549,80,0.5437817845584836,535,42,19,6,7,3
550,80,0.5423948220064725,667,30,19,2,15,1
551,80,0.5409153952843273,610,34,19,2,17,1
552,80,0.5395284327323162,714,28,21,2,14,1
553,80,0.53915857605178,513,44,19,2,22,1
554,80,0.5365695792880258,607,34,19,2,17,1
555,80,0.53416551086454,511,44,19,2,22,1
556,80,0.5325011558021266,835,22,19,2,11,1
557,80,0.5322237632917245,896,20,19,2,10,1
558,80,0.5298196948682385,989,18,20,2,9,1
559,80,0.5286176606564956,583,36,17,3,12,2
560,80,0.5281553398058253,645,32,19,4,8,3
561,80,0.5233472029588534,579,36,17,3,12,2
562,80,0.5218677762367083,618,32,19,4,8,2
563,80,0.5192787794729542,886,21,16,7,3,2
564,80,0.5153952843273232,531,42,21,6,7,1
565,80,0.5137309292649098,610,32,19,4,8,2
566,80,0.5125288950531669,565,36,19,4,9,1
567,80,0.5107720758206196,513,42,19,6,7,1
568,80,0.5104946833102173,551,38,20,2,19,1
569,80,0.5090152565880721,967,18,16,3,6,2
570,80,0.507628294036061,645,30,20,2,15,1
571,80,0.5062413314840499,743,27,19,3,9,1
572,80,0.5061488673139158,511,42,19,6,7,3
573,80,0.49699491447064265,761,24,16,8,3,3
574,80,0.49625520110957005,501,42,17,6,7,3
575,80,0.494960702727693,684,28,15,14,2,4
576,80,0.4946833102172908,594,32,19,4,8,2
577,80,0.49181692094313456,929,18,20,2,9,1
578,80,0.4902450300508553,675,27,20,3,9,2
579,80,0.489875173370319,928,18,20,2,9,1
580,80,0.4887656033287101,535,38,20,2,19,1
581,80,0.4880258899676375,801,21,19,3,7,1
582,80,0.487286176606565,835,20,19,2,10,1
583,80,0.48081368469717983,989,16,19,2,8,1
584,80,0.4806287563569117,610,30,19,3,10,1
585,80,0.47794729542302355,565,35,20,7,5,5
586,80,0.47350901525658806,535,36,19,4,9,1
